"provider","operation_id","operation","mechanism_family","mechanism","availability","authority","inputs_results","lifetime","outputs","host_distribution","compatibility","operations_fit","complexity_ledger","effect_mapping","verdict","confidence","evidence"
"deno","DENO-TRANSPILE","transpile source without declaration emission","declarative-artifact","deno.json/workspace/import map/lock plus command; selected Deno consumes canonical project files; filesystem/project handoff; effect-build calls provider. Family: stable config, manifest, project, or intermediate artifact handoff","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: documented public Deno project/config surface; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","project files and permission flags remain canonical rather than flattened into generic options","preserves scopes/imports/locks/compile includes; does not itself execute","durable project state consumed per command","configuration only; private eszip/standalone formats are not stable interchange","ordinary source/project artifacts","Deno config schema/version","config alone does not execute bundle/check/declaration/compile/acquisition operations","reduces duplicated normalization when kept native","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno cli/lib.rs:216-223 and transpile.rs:107-174 @ f39575e"
"deno","DENO-TRANSPILE","transpile source without declaration emission","isolated-worker","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: local/remote isolated worker used specifically for host or fault isolation","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: local/remote worker adds no semantics beyond an explicit Deno sidecar or selected command; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven","would require new native/source distribution","unsupported coupling","remote build infrastructure is outside scope and local isolation is already a child","workspace/security/transport/outcome-unknown states","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno cli/lib.rs:216-223 and transpile.rs:107-174 @ f39575e"
"deno","DENO-TRANSPILE","transpile source without declaration emission","upstream-contribution","future stable Rust API or machine service/context; Deno-owned; versioned protocol/library and typed event stream; effect-build calls provider. Family: missing supported protocol/library/cancellation/event surface proposed upstream","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: hypothetical; plugin request 32157 is unaccepted; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","must expose runtime/helper/config/permission/target identities","structured outputs/plugins/check/declarations according to explicit capabilities","needs rebuild/cancel/dispose and acquisition outcome laws","must distinguish bytes/direct write/standalone publication","upstream-owned platform artifacts","stable version/capability contract","would change bounded negatives","moves private CLI coupling upstream","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","upstream-dependent","high","Deno cli/lib.rs:216-223 and transpile.rs:107-174 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","direct-host-api","experimental Deno.bundle function; Deno isolate -> Rust op -> fresh OS thread/current-thread Tokio -> esbuild 0.25.5 service child per call; direct runtime op then internal framed stdio to esbuild; effect-build calls provider. Family: official function, callback, or scoped handle in the provider's supported host","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: documented public experimental Deno 2.9.3 API requiring unstable bundle, MIT; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","ambient Deno launch flags/cwd/config/permissions are cloned; private provider selects esbuild helper","structured output bytes; no public plugins, virtual map, check/declarations, watch, or session","one-shot call; no public cancel/context and inner child is recreated","structured bytes or provider-direct writes","requires Deno host; may acquire internal esbuild package","experimental API and hidden helper identity","structured experimental bundle inside a Deno host","low caller code but hidden thread/child/acquisition and no cancellation","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable only as experimental host-restricted operation","high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","selected-command","command/config/project; selected local Deno child; bundle may spawn esbuild; compile may acquire denort; argv, terminal streams, filesystem/network/cache; effect-build calls provider. Family: one-shot or scoped provider command with native argv/project/process semantics","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: documented public Deno 2.9.3 CLI; bundle/transpile and compile --bundle are experimental where marked, MIT; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","explicit/PATH selected Deno owns config/import-map/lock/permissions/env/targets and acquisition","highest native project authority; terminal diagnostics not stable typed events","one-shot or raw watch process; Effect owns child scope only","stdout/direct files; effect-build compile adds private staging and atomic publication","Deno plus denort/esbuild acquisition/caches according to operation","probe exact path/version/capability; selected Deno and denort must align","does not yield Deno.bundle structured results or plugin callbacks","reuses process/file capabilities; cache/network mutation remains provider-owned","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","official-language-library","Rust deno_ast functions; caller Rust process; direct Rust calls; effect-build calls provider. Family: official Go or Rust library API outside the TypeScript host","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: Deno-owned deno_ast 0.53.3, MIT, explicit non-SemVer support posture; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","Rust dependency selects parser/transpiler; caller must supply options","pure per-file parse/transpile only; no project graph/config/import map/permissions/check/declarations","one-shot Rust values","in-memory transformed source","Rust toolchain and native dependencies","exact crate coupling","the inventoried DENO-TRANSPILE operation retains Deno project authority; deno_ast does not","new Rust bridge/toolchain for a deliberately narrower product","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","medium-high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","native-bridge","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: supported or owned C/C++/N-API/FFI bridge","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: no supported Deno bundle/compile C ABI, N-API, or FFI surface found at v2.9.3; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven","would require new native/source distribution","unsupported coupling","a bridge over private CLI crates would inherit exact-source/V8 coupling","native V8 and per-platform bridge distribution","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","embedded-engine","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: linked or vendored upstream compiler/runtime core","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: deno_core 0.408.0 and deno_runtime 0.263.0 are runtime embedding products; private CLI bundle/compile modules are highly unstable; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven","would require new native/source distribution","unsupported coupling","they do not expose Deno's required bundle/check/compile operations; deno_bundle_runtime asks the embedder to provide an engine","exact workspace/V8/source lockstep, broad resolver/runtime graph, maintained fork","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","runtime-hosted-sidecar","framed request/result; selected Deno child calls public runtime API; effect-build-owned framed pipe/socket protocol; effect-build calls provider. Family: provider-native public API behind an effect-build-owned framed protocol","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: effect-build-owned design over experimental Deno APIs; no upstream machine protocol; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","explicit Deno version/path/capabilities plus explicit cwd/config/import-map/lock/permissions","structured serializable bytes/options; no callbacks/session/check/declarations beyond public API","process can persist, but each Deno.bundle call still creates a thread and esbuild child","bytes cross with copies; direct-write mode mutates provider filesystem","Deno binary plus server source","exact protocol/runtime/capability handshake","host-independent access to structured experimental Deno.bundle","adds protocol/process while preserving only a narrow experimental gain","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable with bounded package-private adapter","medium","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","persistent-session","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: versioned daemon/service session with lifetime-bound handles","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: Deno.bundle exposes no reusable handle and recreates its inner service; CLI watch's context is private; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven","would require new native/source distribution","unsupported coupling","a daemon cannot truthfully claim incremental state for the public API","session IDs/backpressure/crash/idle state without reusable provider state","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","wasm-worker","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: supported WebAssembly, WASI, or provider worker boundary","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: no supported Deno CLI bundle/compile WASM/WASI engine surface found at v2.9.3; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven","would require new native/source distribution","unsupported coupling","deno_core/deno_runtime embedding and esbuild helper are not a portable Deno build API","V8/runtime/permissions/filesystem capability loss","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","inverted-plugin","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: provider owns execution and calls effect-build-controlled hooks/modules","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: deno_bundle_runtime exposes a BundleProvider hook, but the embedder must supply a different engine; Deno's CliBundleProvider is private; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven","would require new native/source distribution","unsupported coupling","does not expose Deno's own bundler or preserve its project semantics","would substitute an engine and duplicate Deno resolution/config logic","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","declarative-artifact","deno.json/workspace/import map/lock plus command; selected Deno consumes canonical project files; filesystem/project handoff; effect-build calls provider. Family: stable config, manifest, project, or intermediate artifact handoff","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: documented public Deno project/config surface; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","project files and permission flags remain canonical rather than flattened into generic options","preserves scopes/imports/locks/compile includes; does not itself execute","durable project state consumed per command","configuration only; private eszip/standalone formats are not stable interchange","ordinary source/project artifacts","Deno config schema/version","config alone does not execute bundle/check/declaration/compile/acquisition operations","reduces duplicated normalization when kept native","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","isolated-worker","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: local/remote isolated worker used specifically for host or fault isolation","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: local/remote worker adds no semantics beyond an explicit Deno sidecar or selected command; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven","would require new native/source distribution","unsupported coupling","remote build infrastructure is outside scope and local isolation is already a child","workspace/security/transport/outcome-unknown states","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-MEMORY","structured in-memory bundle","upstream-contribution","future stable Rust API or machine service/context; Deno-owned; versioned protocol/library and typed event stream; effect-build calls provider. Family: missing supported protocol/library/cancellation/event surface proposed upstream","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: hypothetical; plugin request 32157 is unaccepted; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","must expose runtime/helper/config/permission/target identities","structured outputs/plugins/check/declarations according to explicit capabilities","needs rebuild/cancel/dispose and acquisition outcome laws","must distinguish bytes/direct write/standalone publication","upstream-owned platform artifacts","stable version/capability contract","would change bounded negatives","moves private CLI coupling upstream","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","upstream-dependent","high","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","direct-host-api","experimental Deno.bundle function; Deno isolate -> Rust op -> fresh OS thread/current-thread Tokio -> esbuild 0.25.5 service child per call; direct runtime op then internal framed stdio to esbuild; effect-build calls provider. Family: official function, callback, or scoped handle in the provider's supported host","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: documented public experimental Deno 2.9.3 API requiring unstable bundle, MIT; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","ambient Deno launch flags/cwd/config/permissions are cloned; private provider selects esbuild helper","structured output bytes; no public plugins, virtual map, check/declarations, watch, or session","one-shot call; no public cancel/context and inner child is recreated","structured bytes or provider-direct writes; operation invariant: caller-owned collected bytes; no durable publication","requires Deno host; may acquire internal esbuild package","experimental API and hidden helper identity","does not implement the exact stdout command-stream contract and cannot implement compile/check/declarations/session semantics","low caller code but hidden thread/child/acquisition and no cancellation","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","selected-command","command/config/project; selected local Deno child; bundle may spawn esbuild; compile may acquire denort; argv, terminal streams, filesystem/network/cache; effect-build calls provider. Family: one-shot or scoped provider command with native argv/project/process semantics","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: documented public Deno 2.9.3 CLI; bundle/transpile and compile --bundle are experimental where marked, MIT; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","explicit/PATH selected Deno owns config/import-map/lock/permissions/env/targets and acquisition","highest native project authority; terminal diagnostics not stable typed events","one-shot or raw watch process; Effect owns child scope only","stdout/direct files; effect-build compile adds private staging and atomic publication; operation invariant: caller-owned collected bytes; no durable publication","Deno plus denort/esbuild acquisition/caches according to operation","probe exact path/version/capability; selected Deno and denort must align","only truthful current compile/check/declaration/watch mechanism","reuses process/file capabilities; cache/network mutation remains provider-owned","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable now","high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","official-language-library","Rust deno_ast functions; caller Rust process; direct Rust calls; effect-build calls provider. Family: official Go or Rust library API outside the TypeScript host","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: Deno-owned deno_ast 0.53.3, MIT, explicit non-SemVer support posture; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","Rust dependency selects parser/transpiler; caller must supply options","pure per-file parse/transpile only; no project graph/config/import map/permissions/check/declarations","one-shot Rust values","in-memory transformed source; operation invariant: caller-owned collected bytes; no durable publication","Rust toolchain and native dependencies","exact crate coupling","the inventoried DENO-TRANSPILE operation retains Deno project authority; deno_ast does not","new Rust bridge/toolchain for a deliberately narrower product","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","medium-high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","native-bridge","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: supported or owned C/C++/N-API/FFI bridge","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: no supported Deno bundle/compile C ABI, N-API, or FFI surface found at v2.9.3; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned collected bytes; no durable publication","would require new native/source distribution","unsupported coupling","a bridge over private CLI crates would inherit exact-source/V8 coupling","native V8 and per-platform bridge distribution","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","embedded-engine","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: linked or vendored upstream compiler/runtime core","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: deno_core 0.408.0 and deno_runtime 0.263.0 are runtime embedding products; private CLI bundle/compile modules are highly unstable; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned collected bytes; no durable publication","would require new native/source distribution","unsupported coupling","they do not expose Deno's required bundle/check/compile operations; deno_bundle_runtime asks the embedder to provide an engine","exact workspace/V8/source lockstep, broad resolver/runtime graph, maintained fork","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","runtime-hosted-sidecar","framed request/result; selected Deno child calls public runtime API; effect-build-owned framed pipe/socket protocol; effect-build calls provider. Family: provider-native public API behind an effect-build-owned framed protocol","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: effect-build-owned design over experimental Deno APIs; no upstream machine protocol; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","explicit Deno version/path/capabilities plus explicit cwd/config/import-map/lock/permissions","structured serializable bytes/options; no callbacks/session/check/declarations beyond public API","process can persist, but each Deno.bundle call still creates a thread and esbuild child","bytes cross with copies; direct-write mode mutates provider filesystem; operation invariant: caller-owned collected bytes; no durable publication","Deno binary plus server source","exact protocol/runtime/capability handshake","Deno exposes no public project-transpile runtime API; compile/transpile sidecars would merely wrap CLI, and persistence does not reuse the inner engine","adds protocol/process while preserving only a narrow experimental gain","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","medium","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","persistent-session","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: versioned daemon/service session with lifetime-bound handles","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: Deno.bundle exposes no reusable handle and recreates its inner service; CLI watch's context is private; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned collected bytes; no durable publication","would require new native/source distribution","unsupported coupling","a daemon cannot truthfully claim incremental state for the public API","session IDs/backpressure/crash/idle state without reusable provider state","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","wasm-worker","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: supported WebAssembly, WASI, or provider worker boundary","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: no supported Deno CLI bundle/compile WASM/WASI engine surface found at v2.9.3; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned collected bytes; no durable publication","would require new native/source distribution","unsupported coupling","deno_core/deno_runtime embedding and esbuild helper are not a portable Deno build API","V8/runtime/permissions/filesystem capability loss","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","inverted-plugin","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: provider owns execution and calls effect-build-controlled hooks/modules","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: deno_bundle_runtime exposes a BundleProvider hook, but the embedder must supply a different engine; Deno's CliBundleProvider is private; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned collected bytes; no durable publication","would require new native/source distribution","unsupported coupling","does not expose Deno's own bundler or preserve its project semantics","would substitute an engine and duplicate Deno resolution/config logic","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","declarative-artifact","deno.json/workspace/import map/lock plus command; selected Deno consumes canonical project files; filesystem/project handoff; effect-build calls provider. Family: stable config, manifest, project, or intermediate artifact handoff","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: documented public Deno project/config surface; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","project files and permission flags remain canonical rather than flattened into generic options","preserves scopes/imports/locks/compile includes; does not itself execute","durable project state consumed per command","configuration only; private eszip/standalone formats are not stable interchange; operation invariant: caller-owned collected bytes; no durable publication","ordinary source/project artifacts","Deno config schema/version","config alone does not execute bundle/check/declaration/compile/acquisition operations","reduces duplicated normalization when kept native","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","isolated-worker","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: local/remote isolated worker used specifically for host or fault isolation","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: local/remote worker adds no semantics beyond an explicit Deno sidecar or selected command; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned collected bytes; no durable publication","would require new native/source distribution","unsupported coupling","remote build infrastructure is outside scope and local isolation is already a child","workspace/security/transport/outcome-unknown states","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
"deno","DENO-BUNDLE-STDOUT","bundle to stdout","upstream-contribution","future stable Rust API or machine service/context; Deno-owned; versioned protocol/library and typed event stream; effect-build calls provider. Family: missing supported protocol/library/cancellation/event surface proposed upstream","provider pin/license: Deno 2.9.3 @ f39575ecd50602a5b42b1ba8e93849460de9fcf4; MIT; evidence class/support promise: hypothetical; plugin request 32157 is unaccepted; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","must expose runtime/helper/config/permission/target identities","structured outputs/plugins/check/declarations according to explicit capabilities","needs rebuild/cancel/dispose and acquisition outcome laws","must distinguish bytes/direct write/standalone publication; operation invariant: caller-owned collected bytes; no durable publication","upstream-owned platform artifacts","stable version/capability contract","would change bounded negatives","moves private CLI coupling upstream","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","upstream-dependent","high","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e"
