claim_id,source_row,claim,classification,semantic_key,lane,lifecycle,resource_result,output_publication,host_applicability,provenance,semantic_disposition,product_priority,compatibility_commitment,implementation_status,certification_status,evidence_ids,limitation
CLM-085,E01,"Between 0.17.0 and 0.28.1 inclusive, esbuild printed the input-overwrite error but wrote the file anyway; 0.28.2 restored the protection.",relation,,,,,,all filesystem hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-014,"A behavioral hole spanning a wide version range, discoverable only from release notes."
CLM-086,E12,"Package version, declaration bytes, platform-package identity, native binary digest and Go toolchain revision are five separate facts that together constitute esbuild's provider-implementation-identity; at 0.28.2 the Go toolchain moved from 1.25.7 to 1.26.1.",relation,,,,,,all,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-004; EV-ESB-008; EV-ESB-014,"RECONCILIATION section 1 already forbids substituting a version string for this identity; this row enumerates the actual components."
CLM-087,E12,"esbuild.version is a module-level string export that reports the JavaScript package's own version, not the native binary's.",runtime-capability,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,"Reading it proves nothing about the binary; only the first-packet check (CLM-078) or executing the binary's --version does."
CLM-088,E12,"PluginBuild.esbuild hands every plugin a complete copy of the library, including context, build, buildSync, transform, transformSync, formatMessages, analyzeMetafile, initialize and version.",runtime-capability,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002,"A plugin can therefore re-enter the API, including the blocking sync variants, from inside a build. effect-build cannot bound plugin authority."
CLM-089,E11,"The native binary reports its own version through --version and its complete flag surface through --help.",runtime-capability,,selected-command,,,,all process hosts,RECORDED-EXECUTION,established,high,uncommitted,not-started,not-certified,EV-ESB-015; EV-ESB-016,"Executed at exactly one platform cell (linux-x64, digest e1698a3d...)."
CLM-090,E01,"allowOverwrite plus an outfile pointing at an input turns a build into an in-place mutation of the caller's source tree.",post-production-mutation,,in-process-api; selected-command,,,,all filesystem hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-014,"This is the only mutation of pre-existing caller-owned content esbuild performs; it is not a signing or artifact-lineage operation."
CLM-091,E11,"--metafile=PATH and --mangle-cache=PATH mutate or create caller-selected JSON files as a side effect of a build.",post-production-mutation,,selected-command,,,,all filesystem hosts,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-016,"Overwrite behavior for a pre-existing file was not executed."
CLM-092,E12,"ESBUILD_BINARY_PATH overrides the selected native binary at both install time and run time, with the single literal /usr/bin/esbuild rejected.",external-platform-primitive,,,,,,node,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-005; EV-ESB-006,"An ambient-authority input outside effect-build's selected-tool model that can silently change which binary runs."
CLM-093,E12,"ESBUILD_WORKER_THREADS=0 disables the worker-thread path for the sync variants, changing them from a worker call to an execFileSync child.",external-platform-primitive,,,,,,node,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-003; EV-ESB-011,None.
CLM-094,E12,"ESBUILD_MAX_BUFFER raises the 16 MiB stdout ceiling of the synchronous execFileSync path.",external-platform-primitive,,,,,,node,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-003,"Only affects the rejected sync operations."
CLM-095,E12,"The shared native child is created with child_process.spawn and stdio ['pipe','pipe','inherit'], so its stderr is the host process's stderr.",external-platform-primitive,,,,,,node; bun,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003,"effect-build cannot capture, redirect or attribute anything esbuild's native child writes to stderr in the in-process lanes."
CLM-096,E12,"The shared native child inherits process.cwd() as captured at module load into defaultWD, and it is unref'd so it does not hold the host event loop open on its own.",external-platform-primitive,,,,,,node,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003,"Bun's child_process and unref semantics are unproven at any coordinate."
CLM-097,E02,"Sufficiently large transform inputs are staged through a temporary file at os.tmpdir()/esbuild-<64 hex chars> and unlinked by the reader.",external-platform-primitive,,,,,,node,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-003,"Cleanup on failure or interruption is unproven; the threshold was not determined."
CLM-098,E12,"The sync variants default to a worker_threads Worker created from the library's own __filename with execArgv explicitly emptied.",external-platform-primitive,,,,,,node,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-003,"Only affects the rejected sync operations."
CLM-099,E12,"Under Yarn PnP the native binary is copied out of a .zip into node_modules/.cache/esbuild before it can be executed.",external-platform-primitive,,,,,,node under PnP,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-006,"A cached copy's digest is not re-verified against esbuild.binaryHashes."
CLM-100,E12,"On the three WebAssembly-fallback platforms the selected command is node running a WebAssembly module, not a native executable.",external-platform-primitive,,,,,,android-arm; android-x64; openharmony-arm64,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-005; EV-ESB-006,"Not among the five certification hosts of D13; recorded so no support claim is inherited."
CLM-101,E12,"esbuild's postinstall performs network acquisition (npm install, then a direct https GET from registry.npmjs.org) when the platform package is missing.",external-platform-primitive,,,,,,node,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-005,"This is installation-phase behavior of a third-party dependency, entirely upstream of effect-build's evaluation phases. It is not an effect-build fallback and must not be described as one, but the resulting binary's provenance differs from the ordinary path."
CLM-102,E01/R01,"esbuild build output can serve the NodeMainProgram sealed-main role; one exact direct-main fixture previously matched between Bun and esbuild while imported-module semantics diverged.",portable-role,,,,,,recorded at ubuntu-24.04 only,ARCHIVE; RECORDED-EXECUTION,proposed,high,uncommitted,not-started,not-certified,EV-ESB-022; EV-ESB-023,"Ship-if-pass under D8; the adversarial matrix in R5 has not been run."
CLM-103,E03/R04-adjacent,"The esbuild context conformed to the IncrementalNodeMain profile in one recorded execution, with lifecycle context/rebuild/rebuild/cancel/dispose and content changing between rebuilds.",portable-role,,,,,,ubuntu-24.04 only,RECORDED-EXECUTION,proposed,high,uncommitted,not-started,not-certified,EV-ESB-022,"The same receipt records afterCloseRejected for Rolldown but not for esbuild, so post-release rejection is unobserved for this provider. D15 keeps the profile gate independent of any provider package gate."
CLM-104,E01/R02,"esbuild build output is a candidate producer for the BrowserModulePayload role.",portable-role,,,,,,none executed,ARCHIVE,proposed,medium,uncommitted,not-started,not-certified,EV-ESB-023,"Lower confidence than CLM-102; no esbuild browser-role execution exists at any coordinate."
CLM-105,E12,"LAW-ESB-01: the native child is process-global and shared by every one-shot call and every live context in the host process, including those created by code effect-build does not own; therefore no effect-build scope may terminate it.",architecture-law,,,,,,node; bun; deno,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003; EV-ESB-013,"Follows from the shipped implementation. It is the reason ESB-OP-13 is rejected."
CLM-106,E12,"LAW-ESB-02: esbuild's native child is not an effect-build command lane; it is owned, spawned, versioned and terminated entirely by the esbuild package, and effect-build must neither model it as a selected command nor claim authority over it.",architecture-law,,,,,,node; bun; deno,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003; EV-ESB-023,"Restates E12's 'do not double-own' with the mechanism now established from source."
CLM-107,E11/E05/E06,"LAW-ESB-03: CLI --watch and --serve are not semantic twins of context.watch and context.serve; they differ in result channel, options record, termination channel and engine sharing, and must never share a name, a type or a policy.",architecture-law,,,,,,all,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-108,E03-E08,"LAW-ESB-04: rebuild, watch, serve, cancel and dispose remain methods of one scoped state owner; at 0.28.2 none of them has an independent acquisition, an independent release, or a key of its own.",architecture-law,,,,,,all,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,"The falsifier is explicit: an upstream handle that can be released without dispose would promote that method to an operation."
CLM-109,E08/E09,"LAW-ESB-05: dispose() resolving does not mean plugin cleanup finished - onDispose callbacks are scheduled with setTimeout after the dispose promise settles - so a Scope finalizer that awaits dispose must not claim plugin resources are released.",architecture-law,,,,,,all,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003,"Read from the shipped implementation; the resulting window has never been measured."
CLM-110,E04,"LAW-ESB-06: rebuild() coalesces - concurrent calls share one promise and yield one result value - so effect-build must not promise per-call build identity, ordering, or a one-to-one mapping between calls and builds.",architecture-law,,,,,,all,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003,Never executed under concurrency.
CLM-111,E07,"LAW-ESB-07: cancel() is best-effort and unfailing - it resolves on any response, never rejects, and silently resolves after dispose - so it may not be surfaced as a cancellation guarantee.",architecture-law,,,,,,all,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,Never executed against an active build.
CLM-112,E03-E08,"LAW-ESB-08: post-dispose behavior is untyped - didDispose guards only cancel and dispose, so rebuild, watch and serve after dispose reach the native child with a deleted key and their outcome is decided there, not by a typed JavaScript error.",architecture-law,,,,,,all,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003; EV-ESB-022,"This is the single largest empirical hole in the esbuild surface and P-ESB-02 exists to close it."
CLM-113,E01/E03,"LAW-ESB-09: provider-direct-durable is the only truthful publication class for esbuild's write modes; there is no staging, no atomic rename, no all-or-nothing set and no rollback, and the universal stage/verify/atomic-publish sequence must not be applied to them.",architecture-law,,,,,,all filesystem hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-014,"Consistent with the gates' lifecycle-specific-publication requirement and Law D2 of the lifecycle lane."
CLM-114,E01/E02,"LAW-ESB-10: esbuild offers no cancellation for any one-shot operation; Effect interruption stops the fiber awaiting the promise while the native child keeps working, and documentation must say exactly that.",architecture-law,,,,,,all,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,"Matches the lifecycle lane's one-shot-without-cancel row."
CLM-115,E01/E12,"LAW-ESB-11: esbuild's native stderr is inherited by the host process and its stdout write path goes through console.log, so effect-build owns neither stream and must not promise captured or attributed provider diagnostics in the in-process lanes.",architecture-law,,,,,,node; bun; deno,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003,None.
CLM-116,none,"LAW-ESB-12: the sync variants are non-interruptible by construction; wrapping a blocking call in an Effect that advertises interruption would be a false promise, which is why all five are rejected rather than deferred.",architecture-law,,,,,,node,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,None.
CLM-117,E11/E12,"LAW-ESB-13: a selected esbuild command must be identified by the content of the file actually selected, because the same conventional path may be a node shim or the native binary depending on install-time conditions, and ESBUILD_BINARY_PATH can redirect either.",architecture-law,,,,,,node,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-005; EV-ESB-006,"This is the esbuild-specific instance of D9's launch-boundary reauthentication requirement."
CLM-118,E11,"LAW-ESB-14: the CLI cannot report its bound serve address except as human text, so a command-lane serve operation is honest only when the caller pins an exact port; deriving the port by parsing stdout is forbidden by REC-006 and D7.",architecture-law,,,,,,all process hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-016,"This is the reason ESB-OP-18 is deferred rather than shipped."
CLM-119,E10,"LAW-ESB-15: metafile production is a result field of a build and analyzeMetafile is a separate operation; on the command lane both collapse into modifiers (--metafile=PATH writes a file, --analyze prints text), so the two lanes must not share a name or a policy.",architecture-law,,,,,,all,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,"This is the worked example of a mixed row that decomposes into an operation, a result field and two modifiers at once."
