"operation_id","semantic_identity","provider_publication","published_contract","identity_owner","semantic_disposition","product_priority","freeze_recommendation","surface_selection_status","pre_freeze_gate","freeze_gate_status","evidence_gate_basis","gate_failure_action","compatibility_commitment","implementation_status","certification_status","unresolved_evidence","surface_kind","proposed_package","proposed_subpath","proposed_export","proposed_root_export","proposed_root_export_kind","surface_rationale"
"CAN-ROL-005","rolldown / build-one-shot-generate / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","interruption cleanup","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-006","rolldown / build-one-shot-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","partial writes and interruption cleanup","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-007","rolldown / watch-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","event order; result close; interruption","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-008","rolldown / watch-skip-write / in-process-api / scoped-context / {long-lived-handle, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","event order; result close; interruption","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-010","rolldown / cli-bundle-stdout / selected-command / one-shot / {caller-owned-value, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","multi-output framing and collection bounds","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-011","rolldown / cli-bundle-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","partial writes and signal remnants","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-012","rolldown / cli-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","termination; reaping; remnants","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-013","rolldown / transform-source / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","runtime contract","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-014","rolldown / parse-source / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","runtime contract","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-015","rolldown / minify-source / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","runtime contract","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-016","rolldown / resolve-module / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","retention and release discovery","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-017","rolldown / scan-graph / in-process-api / one-shot / {scope-borrowed-value, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","cleanup and interruption","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-018A","rolldown / acquire-dev-engine-memory / in-process-api / scoped-context / {long-lived-handle, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","complete ownership and callback backpressure","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-018B","rolldown / acquire-dev-engine-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","complete ownership; backpressure; remnants","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-020","rolldown / emit-isolated-declaration / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","declaration correctness contract","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-021","rolldown / module-runner-transform / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","source-only-not-certified","none; rejection follows upstream scope","no-export-rejected","effect-build-rolldown","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ROL-022","rolldown / load-config / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","trust boundary and runtime behavior","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
