"comparison_id","primary_operation_id","shadow_operation_id","provider","primary_operation","shadow_operation","lane_primary","lane_shadow","lane_resolution","lifecycle_primary","lifecycle_shadow","lifecycle_resolution","resource_primary","resource_shadow","resource_resolution","provider_publication_primary","provider_publication_shadow","provider_publication_resolution","published_contract_primary","published_contract_shadow","published_contract_resolution","identity_owner_primary","identity_owner_shadow","identity_owner_resolution","provenance_primary","provenance_shadow","semantic_disposition_primary","semantic_disposition_shadow","recommendation_primary","recommendation_shadow","recommendation_resolution","compatibility_primary","compatibility_shadow","implementation_primary","implementation_shadow","certification_primary","certification_shadow","evidence_primary","evidence_shadow","source_primary","source_shadow","proposed_surface","resolution","unresolved_fact"
"CMP-CAN-ESB-013","CAN-ESB-013","CO-ESB-13","esbuild","stop-shared-service","stop-shared-service","in-process-api","in-process-api","agree","one-shot","one-shot","agree","none","none","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","reject","reject","agree","not-committed","none","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-13","ESB-OP-13;E12","no-export-rejected","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","none; rejection is ownership law"
"CMP-CAN-ESB-014","CAN-ESB-014","CO-ESB-14","esbuild","initialize-shared-service","initialize-shared-service","in-process-api","in-process-api","agree","one-shot","one-shot","agree","none","none","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","reject","reject","agree","not-committed","none","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-14","ESB-OP-14","no-export-rejected","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","none; rejection is ownership law"
"CMP-CAN-ESB-015","CAN-ESB-015","CO-ESB-15","esbuild","build-stdout","build-stdout","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+recorded --version/--help at linux-x64","established","established","ship","ship","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-006;EV-ESB-016;EV-ESB-023;EV-ESB-024","EC-ESB-PKG;EC-ESB-CLI-EXEC","ESB-OP-15","ESB-OP-15;E11","effect-build-esbuild./BuildCommand#build","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","bounds; bin form; signal and reaping"
"CMP-CAN-ESB-016","CAN-ESB-016","CO-ESB-16","esbuild","build-direct-write","build-direct-write","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","package+recorded CLI surface","established","established","ship","ship","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-006;EV-ESB-016;EV-ESB-023;EV-ESB-024","EC-ESB-PKG;EC-ESB-CLI-EXEC","ESB-OP-16","ESB-OP-16;E11","effect-build-esbuild./BuildCommandToDirectory#buildToDirectory","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","partial writes; bin form; signal and reaping"
"CMP-CAN-ESB-017","CAN-ESB-017","CO-ESB-17","esbuild","build-watch","build-watch","selected-command","selected-command","agree","scoped-process","scoped-process","agree","long-lived-handle","long-lived-handle","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","package+recorded CLI surface","established","established","ship","ship","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-006;EV-ESB-016;EV-ESB-023","EC-ESB-PKG;EC-ESB-CLI-EXEC","ESB-OP-17","ESB-OP-17;E11","effect-build-esbuild./BuildWatchCommand#watch","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","termination choice; descendants; remnants"
"CMP-CAN-ESB-018","CAN-ESB-018","CO-ESB-18","esbuild","serve","serve","selected-command","selected-command","agree","scoped-process","scoped-process","agree","long-lived-handle","long-lived-handle","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+recorded CLI surface","established","established","defer","defer","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-006;EV-ESB-016;EV-ESB-019;EV-ESB-023","EC-ESB-PKG;EC-ESB-CLI-EXEC;EC-CM-HOLE-SERVE","ESB-OP-18","ESB-OP-18;E11","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","machine-readable address or fixed-port decision; lifecycle"
"CMP-CAN-ESB-019","CAN-ESB-019","CO-ESB-19","esbuild","build-host-stdout","build-host-stdout","in-process-api","in-process-api","agree","one-shot","one-shot","agree","none","none","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","reject","reject","agree","not-committed","none","not-started","not-implemented","not-certified","not-certified","EV-ESB-003","EC-ESB-SRC","ESB-OP-19","ESB-OP-19","no-export-rejected","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","exact typed preflight set"
"CMP-CAN-NODE-001","CAN-NODE-001","CO-SEA-01","node-sea","assemble-direct","assemble-direct","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","atomic-published-durable","atomic-published-durable","agree","product-wrapper-over-provider-command","product-wrapper-over-provider-command","agree","official-upstream-and-repository-law","official upstream v26.7.0 tagged docs/source + repository law","advertised-shape-established","established","ship","ship","agree","operation-identity-ships-support-cells-unadmitted","identity ships; support cells unadmitted","not-implemented","not-implemented","runtime-proof-pending","not-certified","E-NODE-DIRECT;E-NODE-26-DOC-CONFIG;E-NODE-26-SRC-BIN;E-NODE-26-SRC-SEA;E-CORPUS-PREFLIGHT;E-CORPUS-APPLE","EC-SEA-DOC;EC-SEA-SRC;EC-CM-SEA","NODE-SEA-DIRECT","NODE-SEA-DIRECT;S01","effect-build-node-sea./AssembleDirect#assembleDirect","adopt-shadow: separate provider-direct candidate write from wrapper-owned atomic contract","exact binary capability; host-target and runtime matrix"
"CMP-CAN-NODE-002","CAN-NODE-002","CO-SEA-02","node-sea","generate-preparation-blob","generate-preparation-blob","selected-command","selected-command","agree","one-shot","one-shot","agree","scope-borrowed-value","scope-borrowed-value","agree","none","none","agree","none","none","agree","product-wrapper-over-provider-command","product-wrapper-over-provider-command","agree","official-upstream-and-repository-law","official upstream versioned docs + commit ledger","advertised-shape-established","established","ship","ship","agree","operation-identity-ships-support-cells-unadmitted","identity ships; exact cells unadmitted","not-implemented","not-implemented","runtime-proof-pending","not-certified","E-NODE-BLOB-JSON;E-NODE-26-DOC-LEGACY;E-NODE-24-DOC;E-NODE-22-DOC;E-CORPUS-OWNERSHIP;E-CORPUS-PREFLIGHT","EC-SEA-DOC;EC-SEA-COMMITS","NODE-SEA-LEGACY-BLOB","NODE-SEA-LEGACY-BLOB;S08","internal-stage-no-public-export","agree-shadow: canonical internal command-stage identity; no independent public export because its value is scope-borrowed","generator/base relations; cleanup and interruption"
"CMP-CAN-NODE-003","CAN-NODE-003","CO-SEA-03","node-sea","inject-preparation-blob","inject-preparation-blob","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","atomic-published-durable","atomic-published-durable","agree","product-wrapper-over-provider-command","product-wrapper-over-provider-command","agree","official-upstream-and-repository-law","official upstream versioned docs + repository law","advertised-shape-established","established","ship","ship","agree","operation-identity-ships-support-cells-unadmitted","identity ships; no injector/target cells admitted","not-implemented","not-implemented","runtime-proof-pending","not-certified","E-NODE-26-DOC-LEGACY;E-NODE-26-DOC-PLATFORMS;E-NODE-26-DOC-LOADER;E-CORPUS-ADMISS;E-CORPUS-PREFLIGHT;E-CORPUS-APPLE","EC-SEA-DOC;EC-SEA-COMMITS;EC-CM-SEA","NODE-SEA-LEGACY-INJECT","NODE-SEA-LEGACY-INJECT;S08","effect-build-node-sea./AssembleLegacy#assembleLegacy","adopt-shadow: separate injector direct write from AssembleLegacy atomic public contract","injector candidate; target matrix; lifecycle"
"CMP-CAN-ROL-001","CAN-ROL-001","CO-ROL-01","rolldown","acquire-reusable-build","build-context","in-process-api","in-process-api","agree","scoped-context","scoped-context","agree","long-lived-handle","long-lived-handle","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4 + archived exact receipt","established","established","defer","ship","different-resolved","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-ACQUIRE;E-ROL-HANDLE;E-ROL-INPUT;E-EB-GATES","EC-ROL-SRC;EC-ROL-RECEIPT","OP-ROL-001","OP-ROL-001;OP-ROL-004","no-export-deferred","adopt-shadow: close-reusable-build is a release sub-operation; primary keeps D15 package gate as defer rather than shadow ship-identity","concurrency and release law"
"CMP-CAN-ROL-002","CAN-ROL-002","CO-ROL-02","rolldown","generate","context-generate","in-process-api","in-process-api","agree","scoped-context","scoped-context","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4 + archived narrow generate/close seed","established","established","defer","ship","different-resolved","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","narrow-receipt-not-certified","not-certified","E-ROL-HANDLE;E-ROL-OUTPUT-TYPES;E-ROL-OUTPUT-IMPL;E-ROL-EXTMEM;E-EB-RECEIPT","EC-ROL-SRC;EC-ROL-RECEIPT","OP-ROL-002","OP-ROL-002","no-export-deferred","retain-primary-disposition: R2 package_gate is defer; narrow seed is evidence but not package-gate closure","repeatability; concurrent use; external memory"
"CMP-CAN-ROL-003","CAN-ROL-003","CO-ROL-03","rolldown","write","context-write","in-process-api","in-process-api","agree","scoped-context","scoped-context","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-HANDLE;E-ROL-OUTPUT-OPTIONS;E-ROL-OUTPUT-TYPES;E-ROL-PLUGIN;E-EB-LIFE","EC-ROL-SRC","OP-ROL-003","OP-ROL-003","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","collisions; interruption; remnants"
"CMP-CAN-ROL-005","CAN-ROL-005","CO-ROL-04","rolldown","build-one-shot-generate","build-memory","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-BUILD;E-ROL-HANDLE;E-ROL-OUTPUT-IMPL","EC-ROL-SRC","OP-ROL-005","OP-ROL-005","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","interruption cleanup"
"CMP-CAN-ROL-006","CAN-ROL-006","CO-ROL-05","rolldown","build-one-shot-write","build-direct-write","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-BUILD;E-ROL-HANDLE;E-ROL-OUTPUT-OPTIONS;E-EB-LIFE","EC-ROL-SRC","OP-ROL-006","OP-ROL-006","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","partial writes and interruption cleanup"
"CMP-CAN-ROL-007","CAN-ROL-007","CO-ROL-06","rolldown","watch-direct-write","watch-direct-write","in-process-api","in-process-api","agree","scoped-context","scoped-context","agree","long-lived-handle","long-lived-handle","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-WATCH-API;E-ROL-WATCH-EVENT;E-ROL-WATCH-IMPL;E-ROL-INPUT","EC-ROL-SRC","OP-ROL-007","OP-ROL-007;OP-ROL-009","no-export-deferred","adopt-shadow: watcher close is a release sub-operation of both publication modes","event order; result close; interruption"
"CMP-CAN-ROL-008","CAN-ROL-008","CO-ROL-07","rolldown","watch-skip-write","watch-skip-write","in-process-api","in-process-api","agree","scoped-context","scoped-context","agree","long-lived-handle","long-lived-handle","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-WATCH-API;E-ROL-WATCH-EVENT;E-ROL-WATCH-IMPL;E-ROL-HANDLE","EC-ROL-SRC","OP-ROL-008","OP-ROL-008;OP-ROL-009","no-export-deferred","adopt-shadow: watcher close is a release sub-operation of both publication modes","event order; result close; interruption"
"CMP-CAN-ROL-010","CAN-ROL-010","CO-ROL-08","rolldown","cli-bundle-stdout","cli-build-stdout","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-PKG;E-ROL-CLI-BUNDLE;E-ROL-CLI-ARGS;E-ROL-CONFIG","EC-ROL-SRC","OP-ROL-010","OP-ROL-010","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","multi-output framing and collection bounds"
"CMP-CAN-ROL-011","CAN-ROL-011","CO-ROL-09","rolldown","cli-bundle-write","cli-build-direct-write","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-CLI-BUNDLE;E-ROL-CLI-ARGS;E-ROL-CONFIG;E-EB-LIFE","EC-ROL-SRC","OP-ROL-011","OP-ROL-011","no-export-deferred","adopt-shadow: command exit/process observation is caller-owned even though provider payload is durable files","partial writes and signal remnants"
"CMP-CAN-ROL-012","CAN-ROL-012","CO-ROL-10","rolldown","cli-watch","cli-watch","selected-command","selected-command","agree","scoped-process","scoped-process","agree","long-lived-handle","long-lived-handle","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-CLI-BUNDLE;E-ROL-WATCH-API;E-ROL-WATCH-IMPL","EC-ROL-SRC","OP-ROL-012","OP-ROL-012","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","termination; reaping; remnants"
"CMP-CAN-ROL-013","CAN-ROL-013","CO-ROL-11","rolldown","transform-source","transform","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-UTILS;E-ROL-TRANSFORM;E-ROL-BINDING-DTS","EC-ROL-SRC","OP-ROL-013","OP-ROL-013","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","runtime contract"
"CMP-CAN-ROL-014","CAN-ROL-014","CO-ROL-12","rolldown","parse-source","parse","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-UTILS;E-ROL-PARSE;E-ROL-PARSE-AST;E-ROL-BINDING-DTS","EC-ROL-SRC","OP-ROL-014","OP-ROL-014","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","runtime contract"
"CMP-CAN-ROL-015","CAN-ROL-015","CO-ROL-13","rolldown","minify-source","minify","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-UTILS;E-ROL-MINIFY;E-ROL-BINDING-DTS","EC-ROL-SRC","OP-ROL-015","OP-ROL-015","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","runtime contract"
"CMP-CAN-ROL-016","CAN-ROL-016","CO-ROL-14","rolldown","resolve-module","create-resolver","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS","EC-ROL-SRC","OP-ROL-016","OP-ROL-016","no-export-deferred","adopt-shadow: resolver has no release protocol and is a caller-owned reusable value","retention and release discovery"
"CMP-CAN-ROL-017","CAN-ROL-017","CO-ROL-15","rolldown","scan-graph","scan","in-process-api","in-process-api","agree","one-shot","one-shot","agree","scope-borrowed-value","scope-borrowed-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-SCAN;E-ROL-EXPERIMENTAL;E-ROL-HANDLE","EC-ROL-SRC","OP-ROL-017","OP-ROL-017","no-export-deferred","adopt-shadow: scan is one-shot and yields scope-borrowed cleanup authority","cleanup and interruption"
"CMP-CAN-ROL-018A","CAN-ROL-018A","CU-ROL-01","rolldown","acquire-dev-engine-memory","dev-engine","in-process-api","in-process-api","agree","scoped-context","scoped-context","agree","long-lived-handle","long-lived-handle","agree","none","unresolved-mode-dependent","different-resolved","none","unresolved-mode-dependent","different-resolved","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","proposed","defer","reject","different-resolved","exact-v1.2.4-unadmitted","none","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-DEV;E-ROL-DEV-OPTIONS;E-ROL-EXPERIMENTAL","EC-ROL-SRC","OP-ROL-018","OP-ROL-018;OP-ROL-019","no-export-deferred","retain-primary-split: c4 forbids mixed publication and R2 names callback/no-write versus configured-write modes; memory identity remains deferred","complete ownership and callback backpressure"
"CMP-CAN-ROL-018B","CAN-ROL-018B","CU-ROL-01","rolldown","acquire-dev-engine-direct-write","dev-engine","in-process-api","in-process-api","agree","scoped-context","scoped-context","agree","long-lived-handle","long-lived-handle","agree","provider-direct-durable","unresolved-mode-dependent","different-resolved","provider-direct-durable","unresolved-mode-dependent","different-resolved","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","proposed","defer","reject","different-resolved","exact-v1.2.4-unadmitted","none","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-DEV;E-ROL-DEV-OPTIONS;E-ROL-EXPERIMENTAL","EC-ROL-SRC","OP-ROL-018","OP-ROL-018;OP-ROL-019","no-export-deferred","retain-primary-split: c4 forbids mixed publication and R2 names callback/no-write versus configured-write modes; direct-write identity remains deferred","complete ownership; backpressure; remnants"
"CMP-CAN-ROL-020","CAN-ROL-020","CO-ROL-16","rolldown","emit-isolated-declaration","emit-isolated-declaration","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS;E-EB-RECON","EC-ROL-SRC","OP-ROL-020","OP-ROL-020","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","declaration correctness contract"
"CMP-CAN-ROL-021","CAN-ROL-021","CO-ROL-17","rolldown","module-runner-transform","module-runner-transform","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","reject","reject","agree","not-committed","none","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS","EC-ROL-SRC","OP-ROL-021","OP-ROL-021","no-export-rejected","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","none; rejection follows upstream scope"
"CMP-CAN-ROL-022","CAN-ROL-022","CO-ROL-18","rolldown","load-config","load-config","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","tagged source v1.2.4","established","established","defer","defer","agree","exact-v1.2.4-unadmitted","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-ROL-CONFIG;E-ROL-CLI-BUNDLE;E-ROL-PKG","EC-ROL-SRC","OP-ROL-022","OP-ROL-022","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","trust boundary and runtime behavior"
"CMP-RC-SEA-01","none-non-operation-register","RC-SEA-01","node-sea","classified outside canonical operation register","is-sea","not-applicable","runtime-api","shadow-key-not-adopted","not-applicable","runtime-lookup","shadow-key-not-adopted","not-applicable","caller-owned-value","shadow-key-not-adopted","not-applicable","none","shadow-key-not-adopted","not-applicable","none","shadow-key-not-adopted","not-applicable","provider-native","shadow-key-not-adopted","R2 source evidence","official upstream v26.7.0 docs + commit ledger","classified-non-operation","established","classify-only","classify-only","classification-resolution","not-an-operation-support-cell","uncommitted","not-applicable","not-implemented","not-certified","not-certified","E-NODE-ASSETS;E-NODE-ASSET-KEYS","EC-SEA-DOC;EC-SEA-COMMITS","S04","AC-RC-001;S04","none-classification-only","retain primary classification placement: c4 requires only actual operations to receive semantic identities; capabilities remain explicit in NON-OPERATION-REGISTER.csv","runtime proof remains coordinate-specific"
"CMP-RC-SEA-02","none-non-operation-register","RC-SEA-02","node-sea","classified outside canonical operation register","get-asset","not-applicable","runtime-api","shadow-key-not-adopted","not-applicable","runtime-lookup","shadow-key-not-adopted","not-applicable","caller-owned-value","shadow-key-not-adopted","not-applicable","none","shadow-key-not-adopted","not-applicable","none","shadow-key-not-adopted","not-applicable","provider-native","shadow-key-not-adopted","R2 source evidence","official upstream docs + commit ledger","classified-non-operation","established","classify-only","classify-only","classification-resolution","not-an-operation-support-cell","uncommitted","not-applicable","not-implemented","not-certified","not-certified","E-NODE-ASSETS;E-NODE-ASSET-KEYS","EC-SEA-DOC;EC-SEA-COMMITS","S04","AC-RC-002;S04","none-classification-only","retain primary classification placement: c4 requires only actual operations to receive semantic identities; capabilities remain explicit in NON-OPERATION-REGISTER.csv","runtime proof remains coordinate-specific"
"CMP-RC-SEA-03","none-non-operation-register","RC-SEA-03","node-sea","classified outside canonical operation register","get-asset-blob","not-applicable","runtime-api","shadow-key-not-adopted","not-applicable","runtime-lookup","shadow-key-not-adopted","not-applicable","caller-owned-value","shadow-key-not-adopted","not-applicable","none","shadow-key-not-adopted","not-applicable","none","shadow-key-not-adopted","not-applicable","provider-native","shadow-key-not-adopted","R2 source evidence","official upstream docs + commit ledger","classified-non-operation","established","classify-only","classify-only","classification-resolution","not-an-operation-support-cell","uncommitted","not-applicable","not-implemented","not-certified","not-certified","E-NODE-ASSETS;E-NODE-ASSET-KEYS","EC-SEA-DOC;EC-SEA-COMMITS","S04","AC-RC-003;S04","none-classification-only","retain primary classification placement: c4 requires only actual operations to receive semantic identities; capabilities remain explicit in NON-OPERATION-REGISTER.csv","runtime proof remains coordinate-specific"
"CMP-RC-SEA-04","none-non-operation-register","RC-SEA-04","node-sea","classified outside canonical operation register","get-raw-asset","not-applicable","runtime-api","shadow-key-not-adopted","not-applicable","runtime-lookup","shadow-key-not-adopted","not-applicable","runtime-borrowed-view","shadow-key-not-adopted","not-applicable","none","shadow-key-not-adopted","not-applicable","none","shadow-key-not-adopted","not-applicable","provider-native","shadow-key-not-adopted","R2 source evidence","official upstream docs + source","classified-non-operation","established","classify-only","classify-only","classification-resolution","not-an-operation-support-cell","uncommitted","not-applicable","not-implemented","not-certified","not-certified","E-NODE-ASSETS;E-NODE-ASSET-KEYS","EC-SEA-DOC;EC-SEA-SRC","S04","AC-RC-004;AC-RC-005;S04","none-classification-only","retain primary classification placement: c4 requires only actual operations to receive semantic identities; capabilities remain explicit in NON-OPERATION-REGISTER.csv","runtime proof remains coordinate-specific"
"CMP-RC-SEA-05","none-non-operation-register","RC-SEA-05","node-sea","classified outside canonical operation register","get-asset-keys","not-applicable","runtime-api","shadow-key-not-adopted","not-applicable","runtime-lookup","shadow-key-not-adopted","not-applicable","caller-owned-value","shadow-key-not-adopted","not-applicable","none","shadow-key-not-adopted","not-applicable","none","shadow-key-not-adopted","not-applicable","provider-native","shadow-key-not-adopted","R2 source evidence","official upstream docs + commit ledger","classified-non-operation","established","classify-only","classify-only","classification-resolution","not-an-operation-support-cell","uncommitted","not-applicable","not-implemented","not-certified","not-certified","E-NODE-ASSETS;E-NODE-ASSET-KEYS","EC-SEA-DOC;EC-SEA-COMMITS","S04","AC-RC-006","none-classification-only","retain primary classification placement: c4 requires only actual operations to receive semantic identities; capabilities remain explicit in NON-OPERATION-REGISTER.csv","runtime proof remains coordinate-specific"
