operation_id,kind,provider,operation,lane,lifecycle,resource_result,provider_publication,published_contract,identity_owner,semantic_identity,request_authority,failure_law,interruption_law,provider_implementation_identity,host_target_relations,compatibility_owner,evaluation_phase,upstream_status,provenance,semantic_disposition,product_priority,compatibility_commitment,implementation_status,certification_status,evidence_refs,source_refs,notes
CO-ESB-19,operation,esbuild,build-host-stdout,in-process-api,one-shot,none,none,none,provider-native,"esbuild / build-host-stdout / in-process-api / one-shot / {none, none}",BuildOptions write:true with neither outfile nor outdir,Output bytes escape to host stdout via console.log; no value returned; side effect may precede interruption,No cancellation,five-component identity,node/deno; bun unproven,effect-build-esbuild,operation preflight (typed refusal),stable,package+tagged-source 0.28.2,established,reject,none,not-implemented,not-certified,EC-ESB-SRC,ESB-OP-19,Preflight must make this mode unreachable as a typed refusal without silently rewriting options
CO-SEA-01,operation,node-sea,assemble-direct,selected-command,one-shot,caller-owned-value,provider-direct-durable,atomic-published-durable,product-wrapper-over-provider-command,"node-sea / assemble-direct / selected-command / one-shot / {caller-owned-value, atomic-published-durable}",selected Node builder (--build-sea); optional explicit base; main/assets; mainFormat/snapshot/cache/execArgv modes,Wrapper-typed relation/capability/validation/publication failures; provider human diagnostics; no fallback to legacy route,Interruption closes scope and terminates/reaps children pre-rename; post-rename durable output not revoked,exact builder binary content identity + version + LIEF/SEA build capability (not version-only),default-base collapses builder/base; explicit-base requires same Node version (non-overridable); target format/arch equality; ESM>=25.7; ESM cache>=25.9; ESM+snapshot illegal; cross-target requires snapshot=false and cache=false; macOS repair availability per topology,effect-build-node-sea,all six phases,active-development (v25.5.0+; absent from maintained v24/v22),official upstream v26.7.0 tagged docs/source + repository law,established,ship-candidate-identity,identity ships; support cells unadmitted,not-implemented,not-certified,EC-SEA-DOC;EC-SEA-SRC;EC-CM-SEA,NODE-SEA-DIRECT;S01,Provider natively writes configured output directly; wrapper redirects to private same-parent candidate then repairs/validates/hashes/renames (publication-owner split; MSD-03)
CO-SEA-02,operation,node-sea,generate-preparation-blob,selected-command,one-shot,scope-borrowed-value,none,none,product-wrapper-over-provider-command,"node-sea / generate-preparation-blob / selected-command / one-shot / {scope-borrowed-value, none}",selected Node generator (--experimental-sea-config); modern JSON/blob route (v20.0.0+),Generator failures; blob never a public durable result,Scope cleanup of private blob on closure,exact generator binary content identity + version,generator/base same Node version when composed (non-overridable); historical raw NODE_JS_CODE route is a rejected separate identity,effect-build-node-sea,operation preflight + launch boundary + execution,documented (legacy route on all maintained lines),official upstream versioned docs + commit ledger,established,ship-candidate-identity (internal stage),identity ships; exact cells unadmitted,not-implemented,not-certified,EC-SEA-DOC;EC-SEA-COMMITS,NODE-SEA-LEGACY-BLOB;S08,Internal composition stage of the legacy pipeline; not an independent public export candidate
CO-SEA-03,operation,node-sea,inject-preparation-blob,selected-command,one-shot,caller-owned-value,provider-direct-durable,atomic-published-durable,product-wrapper-over-provider-command,"node-sea / inject-preparation-blob / selected-command / one-shot / {caller-owned-value, atomic-published-durable}",authenticated base copy + scope-borrowed blob + exact selected injector (unpinned npx postject is not an identity); target-derived ELF/Mach-O/PE resource+fuse parameters,Injector/structural-validation/repair failures; publication only after final-mutation validation,Interruption terminates injector/repair/validator children; staged candidate cleaned; post-rename durable,exact injector executable/package content identity + capability observation; base content identity,generator/base same version; base SEA support/fuse; format/arch equality; Linux arm64 postject native-addon hole denied until exact proof; macOS stale-signature removal + ad-hoc re-sign ordering,effect-build-node-sea,all six phases,documented modern contract (v20.0.0+),official upstream versioned docs + repository law,established,ship-candidate-identity,identity ships; no injector/target cells admitted,not-implemented,not-certified,EC-SEA-DOC;EC-SEA-COMMITS;EC-CM-SEA,NODE-SEA-LEGACY-INJECT;S08,Direct and legacy are mutually explicit route choices; no transparent fallback (route-identity law)
CO-ROL-01,operation,rolldown,build-context,in-process-api,scoped-context,long-lived-handle,none,none,provider-native,"rolldown / build-context / in-process-api / scoped-context / {long-lived-handle, none}",rolldown(input) captures input options; plugins; platform/resolution modifiers,Acquisition failures provider-native; post-close method behavior recorded (afterCloseRejected observed at 1.2.4 fixture),close()/Symbol.asyncDispose is the release; Scope may own the handle,JS package + native loader + selected platform package or WASI fallback + loaded native bytes + host runtime,node engine metadata is not certification; Bun host is an independent unproven cell; Linux libc family selects native package,effect-build-rolldown,operation preflight + execution,public root API,tagged source v1.2.4 + archived exact receipt,established,candidate (D15 gate),uncommitted,not-implemented,not-certified,EC-ROL-SRC;EC-ROL-RECEIPT,OP-ROL-001;OP-ROL-004,Lane corrected from supplement host-api to in-process-api (installed library; MSD-04); close demoted from operation to release sub-operation (MSD-06)
CO-ROL-02,operation,rolldown,context-generate,in-process-api,scoped-context,caller-owned-value,none,none,provider-native,"rolldown / context-generate / in-process-api / scoped-context / {caller-owned-value, none}",per-call output options against the acquired build handle,Provider-native failures; concurrent-generate serialization unknown,Interruption stops awaiting; native work continuation unknown; external-memory release semantics (keepData/freeExternalMemory) empirical,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,public root API,tagged source v1.2.4 + archived narrow generate/close seed,established,candidate (D15 gate),uncommitted,not-implemented,not-certified,EC-ROL-SRC;EC-ROL-RECEIPT,OP-ROL-002,Handle-bound operation promoted because publication is selected per call not per handle (grouping law GL-2; MSD-06)
CO-ROL-03,operation,rolldown,context-write,in-process-api,scoped-context,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"rolldown / context-write / in-process-api / scoped-context / {caller-owned-value, provider-direct-durable}",per-call output options with destination against the acquired handle,Direct durable writes; no staging/rollback/atomic-tree claim; collision/concurrency laws empirical,Interruption may leave durable remnants,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,public root API,tagged source v1.2.4,established,candidate (D15 gate),uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-003,
CO-ROL-04,operation,rolldown,build-memory,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"rolldown / build-memory / in-process-api / one-shot / {caller-owned-value, none}",experimental build() wrapper; acquires/generates/closes in finally,Provider-native failures; finally-cleanup behavior empirical,Interruption cleanup empirical,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,experimental public root API,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-005,
CO-ROL-05,operation,rolldown,build-direct-write,in-process-api,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"rolldown / build-direct-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}",experimental build() wrapper with write mode (default),Direct durable writes; not atomic,Interruption remnants empirical,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,experimental public root API,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-006,
CO-ROL-06,operation,rolldown,watch-direct-write,in-process-api,scoped-context,long-lived-handle,provider-direct-durable,provider-direct-durable,provider-native,"rolldown / watch-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}",watch(input) event session; bundle events may carry result handles requiring their own close,Event/rebuild failure laws empirical; no typed cross-provider event promise,Watcher close is the release; close-during-rebuild empirical,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,experimental public root API,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-007;OP-ROL-009,Lifecycle mapped from supplement's invented scoped-session to closed vocabulary scoped-context (in-process session; MSD-08); event-carried result handles are result fields with their own release sub-operation
CO-ROL-07,operation,rolldown,watch-skip-write,in-process-api,scoped-context,long-lived-handle,none,none,provider-native,"rolldown / watch-skip-write / in-process-api / scoped-context / {long-lived-handle, none}",watch(input) with skipWrite,No automatic publication,As CO-ROL-06,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,experimental public root API,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-008;OP-ROL-009,
CO-ROL-08,operation,rolldown,cli-build-stdout,selected-command,one-shot,caller-owned-value,none,none,provider-native,"rolldown / cli-build-stdout / selected-command / one-shot / {caller-owned-value, none}",selected rolldown bin; argv/cwd/env; config file selection,Exit status + human stdout/stderr; stdout may interleave multiple outputs; no structured chunk contract,Scope owns child,selected command content identity observed separately from imported package identity; reauthenticated at launch,any spawning host,effect-build-rolldown,operation preflight + launch boundary + execution,public CLI bin,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-010,
CO-ROL-09,operation,rolldown,cli-build-direct-write,selected-command,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"rolldown / cli-build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}",selected rolldown bin; output destination flags; config authority,Exit status + provider-written tree; not atomic,Scope owns child; remnants empirical,as CO-ROL-08,any spawning host,effect-build-rolldown,operation preflight + launch boundary + execution,public CLI bin,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-011,resource_result corrected from supplement's no-public-value: exit status and streams are caller-owned observations (vocabulary discipline; MSD-08)
CO-ROL-10,operation,rolldown,cli-watch,selected-command,scoped-process,long-lived-handle,provider-direct-durable,provider-direct-durable,provider-native,"rolldown / cli-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}",selected rolldown bin; watch flags,Human streams + repeated direct writes; no typed events,Scope terminates child; reap/remnant laws empirical,as CO-ROL-08,any spawning host,effect-build-rolldown,operation preflight + launch boundary + execution,public CLI bin; watch experimental,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-012,
CO-ROL-11,operation,rolldown,transform,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"rolldown / transform / in-process-api / one-shot / {caller-owned-value, none}",per-call transform options + one source,Provider-native diagnostics,Interruption stops awaiting,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,experimental utility export,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-013,
CO-ROL-12,operation,rolldown,parse,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"rolldown / parse / in-process-api / one-shot / {caller-owned-value, none}",per-call parse options + one source,Provider-native diagnostics,Interruption stops awaiting,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,public utility export,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-014,
CO-ROL-13,operation,rolldown,minify,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"rolldown / minify / in-process-api / one-shot / {caller-owned-value, none}",per-call minify options + one source,Provider-native diagnostics,Interruption stops awaiting,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,experimental utility export,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-015,
CO-ROL-14,operation,rolldown,create-resolver,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"rolldown / create-resolver / in-process-api / one-shot / {caller-owned-value, none}",ResolverFactory options captured at construction; resolve calls are sub-operations,Provider-native resolution errors per call,No documented release protocol,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,experimental utility export,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-016,Modeled parallel to Bun create-transpiler (reusable configured object); falsifier: a dispose/release member reclassifies to scoped-context (MSD-09)
CO-ROL-15,operation,rolldown,scan,in-process-api,one-shot,scope-borrowed-value,none,none,provider-native,"rolldown / scan / in-process-api / one-shot / {scope-borrowed-value, none}",scan options; result carries a cleanup obligation (promise-resolving-to-cleanup shape),Provider-native failures; cleanup failure semantics empirical,Interruption-vs-cleanup ordering empirical,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,experimental utility export,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-017,Supplement's one-shot-with-cleanup mapped to one-shot + scope-borrowed-value (closed vocabulary; MSD-08)
CO-ROL-16,operation,rolldown,emit-isolated-declaration,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"rolldown / emit-isolated-declaration / in-process-api / one-shot / {caller-owned-value, none}",per-call declaration options + one source,Provider-native diagnostics,Interruption stops awaiting,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,experimental utility export,tagged source v1.2.4,established,defer (rejected from current profile),uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-020,
CO-ROL-17,operation,rolldown,module-runner-transform,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"rolldown / module-runner-transform / in-process-api / one-shot / {caller-owned-value, none}",deprecated Vite-only transform,Provider-native diagnostics,Interruption stops awaiting,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,deprecated; Vite-only,tagged source v1.2.4,established,reject,none,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-021,
CO-ROL-18,operation,rolldown,load-config,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"rolldown / load-config / in-process-api / one-shot / {caller-owned-value, none}",config path selection; executes caller-selected configuration code (explicit trust boundary),Rejection on load/evaluation failure,Interruption stops awaiting; executed config side effects are caller authority,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,public config helper,tagged source v1.2.4,established,defer,uncommitted,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-022,
CU-ROL-01,candidate-unresolved,rolldown,dev-engine,in-process-api,scoped-context,long-lived-handle,unresolved-mode-dependent,unresolved-mode-dependent,provider-native,incomplete: publication depends on configured callbacks/write mode and must be split by mode before entering the canon,DevEngine options; HMR/output callbacks; lazy entries,empirical,empirical,as CO-ROL-01,as CO-ROL-01,effect-build-rolldown,execution,experimental provider-only API,tagged source v1.2.4,proposed,reject-current,none,not-implemented,not-certified,EC-ROL-SRC,OP-ROL-018;OP-ROL-019,Cannot receive a complete semantic key: supplement's mixed-configured publication is an illegal vocabulary state; requires per-mode split (memory vs direct-write) before admission (MSD-08; schema finding F5)
RC-SEA-01,runtime-capability,node-sea,is-sea,runtime-api,runtime-lookup,caller-owned-value,none,none,provider-native,"node-sea / is-sea / runtime-api / runtime-lookup / {caller-owned-value, none}",sea.isSea() inside produced artifact,n/a,n/a,exact base Node identity embedded in artifact,artifact runtime only; v21.7.0/v20.12.0+,effect-build-node-sea,artifact runtime,active development,official upstream v26.7.0 docs + commit ledger,established,capability-map,uncommitted,not-implemented,not-certified,EC-SEA-DOC;EC-SEA-COMMITS,AC-RC-001;S04,Runtime capability of the artifact contract; not a build operation (grouping law GL-3)
RC-SEA-02,runtime-capability,node-sea,get-asset,runtime-api,runtime-lookup,caller-owned-value,none,none,provider-native,"node-sea / get-asset / runtime-api / runtime-lookup / {caller-owned-value, none}","sea.getAsset(key[,encoding]) returns copied ArrayBuffer or decoded string",missing-key behavior; encoding semantics,n/a,exact base Node identity,artifact runtime; v21.7.0/v20.12.0+,effect-build-node-sea,artifact runtime,active development,official upstream docs + commit ledger,established,capability-map,uncommitted,not-implemented,not-certified,EC-SEA-DOC;EC-SEA-COMMITS,AC-RC-002;S04,Copied value is caller-owned (contrast RC-SEA-04)
RC-SEA-03,runtime-capability,node-sea,get-asset-blob,runtime-api,runtime-lookup,caller-owned-value,none,none,provider-native,"node-sea / get-asset-blob / runtime-api / runtime-lookup / {caller-owned-value, none}","sea.getAssetAsBlob(key[,options]) with optional MIME",missing-key behavior,n/a,exact base Node identity,artifact runtime; v21.7.0/v20.12.0+,effect-build-node-sea,artifact runtime,active development,official upstream docs + commit ledger,established,capability-map,uncommitted,not-implemented,not-certified,EC-SEA-DOC;EC-SEA-COMMITS,AC-RC-003;S04,
RC-SEA-04,runtime-capability,node-sea,get-raw-asset,runtime-api,runtime-lookup,runtime-borrowed-view,none,none,provider-native,"node-sea / get-raw-asset / runtime-api / runtime-lookup / {runtime-borrowed-view, none}",sea.getRawAsset(key) no-copy view backed by embedded executable resource,write-through unsupported and may crash (rejected use),n/a,exact base Node identity,artifact runtime; v21.7.0/v20.12.0+,effect-build-node-sea,artifact runtime,active development,official upstream docs + source,established,capability-map (mutation rejected),uncommitted,not-implemented,not-certified,EC-SEA-DOC;EC-SEA-SRC,AC-RC-004;AC-RC-005;S04,The only runtime-borrowed-view in the corpus; wrapper lifetime proof owed to R4
RC-SEA-05,runtime-capability,node-sea,get-asset-keys,runtime-api,runtime-lookup,caller-owned-value,none,none,provider-native,"node-sea / get-asset-keys / runtime-api / runtime-lookup / {caller-owned-value, none}",sea.getAssetKeys() enumerates embedded keys; empty array when none,n/a,n/a,exact base Node identity,artifact runtime; v24.8.0/v22.20.0+,effect-build-node-sea,artifact runtime,active development,official upstream docs + commit ledger,established,capability-map,uncommitted,not-implemented,not-certified,EC-SEA-DOC;EC-SEA-COMMITS,AC-RC-006,
RC-DEN-01,runtime-capability,deno,compiled-runtime-bundle,runtime-api,runtime-lookup,none,none,none,provider-native,"deno / compiled-runtime-bundle / runtime-api / runtime-lookup / {none, none}",Deno.bundle inside a compiled artifact,v2.9.5 denort default BundleProvider reports unavailable; 2.9.3 recorded TypeError,n/a,exact denort identity embedded in artifact,artifact runtime,effect-build-deno,artifact runtime,unavailable,tagged source v2.9.5 + recorded execution 2.9.3,falsified-availability,reject-as-surface,known-incompatible at observed coordinates,not-implemented,not-certified,EC-DEN-SRC;EC-DEN-RECEIPT;EC-CM-COMPILED,DENO-CL-046;DENO-CL-051;D09,Belongs to the runtime capability map; re-probe per new identity without inventing a portable error
RC-ESB-01,runtime-capability,esbuild,version-export,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"esbuild / version-export / in-process-api / one-shot / {caller-owned-value, none}",esbuild.version module-level string,Reports the JS package's own version only; proves nothing about the native binary,n/a,five-component identity,all hosts,effect-build-esbuild,operation preflight (identity input only),stable,package+tagged-source 0.28.2,established,capability-map,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,CLM-087,Binary identity comes from first-packet check or executing the binary's --version; never from this export
