source_artifact,source_id,source_kind,mapped_to,mapping,note
r2/bun @ 509d7d6b91c6,C-BUN-083,request mode,CO-BUN-10,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-084,result field,CO-BUN-10,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-085,runtime capability,CO-BUN-10,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-086,relation,CO-BUN-10,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-087,runtime capability,CO-BUN-10,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-088,request mode,CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-089,request mode,CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-090,result field,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-091,relation,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-092,request mode,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-093,relation,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-094,request mode,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-095,relation,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-096,sub-operation,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-097,relation,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-098,external-platform-primitive,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-099,modifier,CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-100,modifier,CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-101,modifier,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-102,modifier,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-103,modifier,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-104,relation,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-105,relation,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-106,runtime capability,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-107,relation,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-108,post-production mutation,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-109,external-platform-primitive,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-110,runtime capability,CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-111,runtime capability,CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-112,relation,CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-113,external-platform-primitive,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-114,external-platform-primitive,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-115,relation,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-116,runtime capability,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-117,relation,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-118,portable-role,CO-BUN-02;CO-BUN-03,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-119,portable-role,CO-BUN-04;CO-BUN-05,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-120,portable-role,CO-BUN-06;CO-BUN-07;CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-121,portable-role,CO-BUN-06;CO-BUN-07;CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-122,portable-role,CO-BUN-06;CO-BUN-07;CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-123,portable-role,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-124,portable-role,CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-125,portable-role,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-126,portable-role,CO-BUN-10,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-127,relation,CO-BUN-09;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-128,relation,CO-BUN-01;CO-BUN-02;CO-BUN-03;CO-BUN-04;CO-BUN-05;CO-BUN-06;CO-BUN-07;CO-BUN-08;CO-BUN-10,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-129,relation,CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-130,relation,CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,E-BUN-001,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-002,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-003,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-004,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-005,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-006,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-007,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-008,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-009,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-010,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-011,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-012,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-013,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-014,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-015,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-016,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-017,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-018,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-019,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-020,evidence-coordinate,EC-BUN-SRC;EC-BUN-DOC,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-021,evidence-coordinate,EC-BUN-RECEIPT-HOSTAPI,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-022,evidence-coordinate,EC-BUN-RECEIPT-HOSTAPI,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-023,evidence-coordinate,EC-BUN-RECEIPT-PROVIDER,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-024,evidence-coordinate,EC-BUN-RECEIPT-PROVIDER,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-025,evidence-coordinate,EC-BUN-RECEIPT-PROVIDER,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-026,evidence-coordinate,EC-BUN-RECEIPT-PROVIDER,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-027,evidence-coordinate,EC-BUN-RECEIPT-PROVIDER,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-028,evidence-coordinate,EC-BUN-VERSION-POINTS,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-BUN-029,evidence-coordinate,EC-BUN-VERSION-POINTS,evidence-grouped,
r2/bun @ 509d7d6b91c6,E-EB-001,evidence-coordinate,EC-EB-IMPL,evidence-grouped,
r2/bun @ 509d7d6b91c6,C01,report-candidate,CO-BUN-01,adopted,candidate
r2/bun @ 509d7d6b91c6,C02,report-candidate,CO-BUN-02,adopted,candidate
r2/bun @ 509d7d6b91c6,C03,report-candidate,CO-BUN-03,adopted,defer (MSD-10)
r2/bun @ 509d7d6b91c6,C04,report-candidate,CO-BUN-04,adopted,candidate
r2/bun @ 509d7d6b91c6,C05,report-candidate,CO-BUN-05,adopted,candidate
r2/bun @ 509d7d6b91c6,C06,report-candidate,CO-BUN-06,adopted,candidate
r2/bun @ 509d7d6b91c6,C07,report-candidate,CO-BUN-07,adopted,candidate
r2/bun @ 509d7d6b91c6,C08,report-candidate,CO-BUN-06,adopted,request mode
r2/bun @ 509d7d6b91c6,C09,report-candidate,CO-BUN-06;CO-BUN-07,adopted,modifier
r2/bun @ 509d7d6b91c6,C10,report-candidate,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,request mode
r2/bun @ 509d7d6b91c6,C11,report-candidate,CO-BUN-01,adopted,defer (macro presets)
r2/bun @ 509d7d6b91c6,C12,report-candidate,CO-BUN-06;CO-BUN-07,adopted,result-field passthrough
r2/bun @ 509d7d6b91c6,C13,report-candidate,CO-BUN-06;CO-BUN-07;CO-BUN-09,adopted,request mode (MSD-12)
r2/bun @ 509d7d6b91c6,C14,report-candidate,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,request mode (MSD-12)
r2/bun @ 509d7d6b91c6,C15,report-candidate,CO-BUN-06;CO-BUN-07,adopted,request mode (MSD-12)
r2/bun @ 509d7d6b91c6,C16,report-candidate,CO-BUN-11,adopted,candidate
r2/bun @ 509d7d6b91c6,C17,report-candidate,CO-BUN-12,adopted,candidate
r2/bun @ 509d7d6b91c6,C18,report-candidate,CO-BUN-08,adopted,candidate
r2/bun @ 509d7d6b91c6,C19,report-candidate,CO-BUN-10,adopted,candidate
r2/bun @ 509d7d6b91c6,C20,report-candidate,SC-X-05,adopted,reject upheld
r2/bun @ 509d7d6b91c6,C21,report-candidate,CO-BUN-13,adopted,reject upheld
r2/bun @ 509d7d6b91c6,C22,report-candidate,CO-BUN-14,adopted,reject upheld
r2/bun @ 509d7d6b91c6,C23,report-candidate,SC-B-24,adopted,defer (native onBeforeParse)
r2/bun @ 509d7d6b91c6,C24,report-candidate,SC-B-37,adopted,reject upheld
r2/bun @ 509d7d6b91c6,C25,report-candidate,SC-E-34,adopted,reject upheld (no canonical single-JS result)
r2/bun @ 509d7d6b91c6,C26,report-candidate,SC-X-10,adopted,defer (generic atomic tree)
r2/bun @ 509d7d6b91c6,C27,report-candidate,SC-X-03,adopted,defer role
r2/bun @ 509d7d6b91c6,C28,report-candidate,SC-B-39,adopted,defer role
r2/bun @ 509d7d6b91c6,C29,report-candidate,SC-X-02,adopted,defer role
r2/bun @ 509d7d6b91c6,C30,report-candidate,SC-B-39,adopted,defer role
r2/bun @ 509d7d6b91c6,C31,report-candidate,SC-X-04,adopted,reject upheld
r2/bun @ 509d7d6b91c6,C32,report-candidate,SC-B-39,adopted,defer role
r2/bun @ 509d7d6b91c6,C33,report-candidate,SC-B-39,adopted,defer role
r2/bun @ 509d7d6b91c6,C34,report-candidate,SC-B-38,adopted,reject upheld (no inferred range)
r2/bun @ 509d7d6b91c6,C35,report-candidate,SC-B-29,adopted,defer (source-only targets)
r2/bun @ 509d7d6b91c6,C36,report-candidate,SC-B-20,adopted,modifier
r2/bun @ 509d7d6b91c6,C37,report-candidate,SC-B-32,adopted,reject upheld (signing not a compile result)
r2/bun @ 509d7d6b91c6,C38,report-candidate,SC-S-27,adopted,defer to R9/M4
r2/bun @ 509d7d6b91c6,C39,report-candidate,SC-D-27,adopted,reject upheld (hidden acquisition)
r2/bun @ 509d7d6b91c6,C40,report-candidate,SC-B-25,adopted,defer (explicit acquisition policy)
r2/deno @ 34db6a6ee336,DENO-OP-001,operation,CO-DEN-01,adopted,
r2/deno @ 34db6a6ee336,DENO-OP-002,operation,CO-DEN-02,adopted,
r2/deno @ 34db6a6ee336,DENO-OP-003,operation,CO-DEN-03,adopted,
r2/deno @ 34db6a6ee336,DENO-OP-004,operation,CO-DEN-04,adopted,
r2/deno @ 34db6a6ee336,DENO-OP-005,operation,CO-DEN-05,adopted,
r2/deno @ 34db6a6ee336,DENO-OP-006,operation,CO-DEN-06,adopted,
r2/deno @ 34db6a6ee336,DENO-OP-007,operation,CO-DEN-07,adopted,
r2/deno @ 34db6a6ee336,DENO-OP-008,operation,CO-DEN-08,adopted,
r2/deno @ 34db6a6ee336,DENO-OP-009,operation,CO-DEN-09,adopted,
r2/deno @ 34db6a6ee336,DENO-OP-010,operation,CO-DEN-10,adopted-with-correction,provider publication corrected atomic-published -> provider-direct; wrapper contract carried separately (MSD-02)
r2/deno @ 34db6a6ee336,DENO-OP-011,operation,CO-DEN-11,adopted-with-correction,provider publication corrected atomic-published -> provider-direct (MSD-02)
r2/deno @ 34db6a6ee336,DENO-CL-001,request mode,CO-DEN-01;CO-DEN-02,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-002,request mode,CO-DEN-01;CO-DEN-02,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-003,modifier,SC-D-13,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-004,modifier,SC-D-13,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-005,modifier,SC-D-13,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-006,modifier,SC-D-13,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-007,modifier,SC-D-13,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-008,result field,SC-D-14,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-009,result field,SC-D-14,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-010,runtime capability,CO-DEN-01;CO-DEN-02,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-011,runtime capability,SC-D-18,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-012,relation,SC-D-18,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-013,sub-operation,SC-D-16,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-014,relation,SC-D-16,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-015,request mode,CO-DEN-03;CO-DEN-04,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-016,modifier,SC-D-13,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-017,sub-operation,SC-D-15,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-018,sub-operation,CO-DEN-06,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-019,relation,SC-D-23,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-020,request mode,SC-D-21,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-021,result field,CO-DEN-03;CO-DEN-04,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-022,runtime capability,CO-DEN-05,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-023,request mode,CO-DEN-07,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-024,request mode,SC-D-22,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-025,modifier,SC-D-22,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-026,relation,SC-D-22,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-027,sub-operation,CO-DEN-09,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-028,relation,SC-D-23,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-029,relation,SC-D-23,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-030,request mode,CO-DEN-10,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-031,modifier,SC-D-19,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-032,relation,SC-D-19,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-033,relation,SC-D-19,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-034,relation,SC-D-19,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-035,relation,SC-D-19,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-036,relation,SC-D-19,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-037,relation,SC-D-19,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-038,sub-operation,SC-D-17,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-039,relation,SC-D-20,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-040,sub-operation,SC-D-17,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-041,sub-operation,SC-D-17,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-042,relation,SC-D-19,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-043,sub-operation,CO-DEN-10,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-044,relation,CO-DEN-10,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-045,modifier,CO-DEN-10,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-046,runtime capability,RC-DEN-01,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-047,post-production mutation,SC-D-25,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-048,architecture-law,SC-D-26,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-049,architecture-law,SC-D-27,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-050,portable-role,SC-D-28,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-051,runtime capability,RC-DEN-01,adopted,
r2/deno @ 34db6a6ee336,DENO-CL-052,runtime capability,SC-D-29,adopted,
r2/deno @ 34db6a6ee336,DENO-EV-001,evidence-coordinate,EC-DEN-SRC,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-002,evidence-coordinate,EC-DEN-SRC,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-003,evidence-coordinate,EC-DEN-SRC,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-004,evidence-coordinate,EC-DEN-SRC,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-005,evidence-coordinate,EC-DEN-TARGETS,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-006,evidence-coordinate,EC-DEN-TARGETS,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-007,evidence-coordinate,EC-DEN-TARGETS,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-008,evidence-coordinate,EC-DEN-TARGETS,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-009,evidence-coordinate,EC-DEN-TARGETS,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-010,evidence-coordinate,EC-DEN-TARGETS,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-011,evidence-coordinate,EC-DEN-RECEIPT,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-012,evidence-coordinate,EC-DEN-RECEIPT,evidence-grouped,
r2/deno @ 34db6a6ee336,DENO-EV-013,evidence-coordinate,EC-DEN-HELPER,evidence-grouped,
r2/esbuild @ c75e91b945b2,ESB-OP-01,operation,CO-ESB-01,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-02,operation,CO-ESB-02,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-03,operation,CO-ESB-03,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-04,operation,CO-ESB-04,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-05,operation,CO-ESB-05,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-06,operation,CO-ESB-06,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-07,operation,CO-ESB-07,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-08,operation,CO-ESB-08,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-09,operation,CO-ESB-09,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-10,operation,CO-ESB-10,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-11,operation,CO-ESB-11,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-12,operation,CO-ESB-12,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-13,operation,CO-ESB-13,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-14,operation,CO-ESB-14,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-15,operation,CO-ESB-15,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-16,operation,CO-ESB-16,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-17,operation,CO-ESB-17,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-18,operation,CO-ESB-18,adopted,
r2/esbuild @ c75e91b945b2,ESB-OP-19,operation,CO-ESB-19,adopted,
r2/esbuild @ c75e91b945b2,CLM-001,operation,CO-ESB-01,adopted,
r2/esbuild @ c75e91b945b2,CLM-002,operation,CO-ESB-02,adopted,
r2/esbuild @ c75e91b945b2,CLM-003,operation,CO-ESB-03,adopted,
r2/esbuild @ c75e91b945b2,CLM-004,operation,CO-ESB-04,adopted,
r2/esbuild @ c75e91b945b2,CLM-005,operation,CO-ESB-05,adopted,
r2/esbuild @ c75e91b945b2,CLM-006,operation,CO-ESB-06,adopted,
r2/esbuild @ c75e91b945b2,CLM-007,operation,CO-ESB-07,adopted,
r2/esbuild @ c75e91b945b2,CLM-008,operation,CO-ESB-08,adopted,
r2/esbuild @ c75e91b945b2,CLM-009,operation,CO-ESB-09,adopted,
r2/esbuild @ c75e91b945b2,CLM-010,operation,CO-ESB-10,adopted,
r2/esbuild @ c75e91b945b2,CLM-011,operation,CO-ESB-11,adopted,
r2/esbuild @ c75e91b945b2,CLM-012,operation,CO-ESB-12,adopted,
r2/esbuild @ c75e91b945b2,CLM-013,operation,CO-ESB-13,adopted,
r2/esbuild @ c75e91b945b2,CLM-014,operation,CO-ESB-14,adopted,
r2/esbuild @ c75e91b945b2,CLM-015,operation,CO-ESB-15,adopted,
r2/esbuild @ c75e91b945b2,CLM-016,operation,CO-ESB-16,adopted,
r2/esbuild @ c75e91b945b2,CLM-017,operation,CO-ESB-17,adopted,
r2/esbuild @ c75e91b945b2,CLM-018,operation,CO-ESB-18,adopted,
r2/esbuild @ c75e91b945b2,CLM-019,operation,CO-ESB-19,adopted,
r2/esbuild @ c75e91b945b2,CLM-020,sub-operation,SC-E-20,adopted,
r2/esbuild @ c75e91b945b2,CLM-021,sub-operation,SC-E-21,adopted,
r2/esbuild @ c75e91b945b2,CLM-022,sub-operation,SC-E-22,adopted,
r2/esbuild @ c75e91b945b2,CLM-023,sub-operation,SC-E-23,adopted,
r2/esbuild @ c75e91b945b2,CLM-024,sub-operation,SC-E-24,adopted,
r2/esbuild @ c75e91b945b2,CLM-025,sub-operation,SC-E-26,adopted,
r2/esbuild @ c75e91b945b2,CLM-026,sub-operation,SC-E-26,adopted,
r2/esbuild @ c75e91b945b2,CLM-027,sub-operation,SC-E-21;SC-E-26,adopted,
r2/esbuild @ c75e91b945b2,CLM-028,sub-operation,SC-E-26,adopted,
r2/esbuild @ c75e91b945b2,CLM-029,sub-operation,SC-E-26,adopted,
r2/esbuild @ c75e91b945b2,CLM-030,sub-operation,SC-E-24;SC-E-26,adopted,
r2/esbuild @ c75e91b945b2,CLM-031,sub-operation,SC-E-26,adopted,
r2/esbuild @ c75e91b945b2,CLM-032,request-mode,SC-E-28,adopted,
r2/esbuild @ c75e91b945b2,CLM-033,request-mode,SC-E-28,adopted,
r2/esbuild @ c75e91b945b2,CLM-034,request-mode,SC-E-27,adopted,
r2/esbuild @ c75e91b945b2,CLM-035,request-mode,SC-E-27,adopted,
r2/esbuild @ c75e91b945b2,CLM-036,request-mode,CO-ESB-01;CO-ESB-02;CO-ESB-16,adopted,
r2/esbuild @ c75e91b945b2,CLM-037,request-mode,SC-E-29,adopted,
r2/esbuild @ c75e91b945b2,CLM-038,request-mode,CO-ESB-01;CO-ESB-03,adopted,
r2/esbuild @ c75e91b945b2,CLM-039,request-mode,SC-E-29,adopted,
r2/esbuild @ c75e91b945b2,CLM-040,request-mode,SC-E-29,adopted,
r2/esbuild @ c75e91b945b2,CLM-041,request-mode,SC-E-26,adopted,
r2/esbuild @ c75e91b945b2,CLM-042,request-mode,SC-E-26,adopted,
r2/esbuild @ c75e91b945b2,CLM-043,request-mode,SC-E-43,adopted,
r2/esbuild @ c75e91b945b2,CLM-044,request-mode,SC-E-31,adopted,
r2/esbuild @ c75e91b945b2,CLM-045,request-mode,SC-E-31,adopted,
r2/esbuild @ c75e91b945b2,CLM-046,request-mode,CO-ESB-17;CO-ESB-18,adopted,
r2/esbuild @ c75e91b945b2,CLM-047,request-mode,SC-E-22,adopted,
r2/esbuild @ c75e91b945b2,CLM-048,request-mode,SC-E-21,adopted,
r2/esbuild @ c75e91b945b2,CLM-049,request-mode,CO-ESB-01;CO-ESB-02,adopted,
r2/esbuild @ c75e91b945b2,CLM-050,modifier,SC-E-30,adopted,
r2/esbuild @ c75e91b945b2,CLM-051,modifier,SC-E-30,adopted,
r2/esbuild @ c75e91b945b2,CLM-052,modifier,CO-ESB-01,adopted,
r2/esbuild @ c75e91b945b2,CLM-053,modifier,CO-ESB-01,adopted,
r2/esbuild @ c75e91b945b2,CLM-054,modifier,CO-ESB-01,adopted,
r2/esbuild @ c75e91b945b2,CLM-055,modifier,CO-ESB-01;CO-ESB-03,adopted,
r2/esbuild @ c75e91b945b2,CLM-056,modifier,CO-ESB-01;CO-ESB-03,adopted,
r2/esbuild @ c75e91b945b2,CLM-057,modifier,CO-ESB-01;CO-ESB-03,adopted,
r2/esbuild @ c75e91b945b2,CLM-058,modifier,CO-ESB-01,adopted,
r2/esbuild @ c75e91b945b2,CLM-059,modifier,SC-E-41,adopted,
r2/esbuild @ c75e91b945b2,CLM-060,modifier,CO-ESB-15;SC-E-31,adopted,
r2/esbuild @ c75e91b945b2,CLM-061,modifier,CO-ESB-17,adopted,
r2/esbuild @ c75e91b945b2,CLM-062,modifier,CO-ESB-17,adopted,
r2/esbuild @ c75e91b945b2,CLM-063,modifier,CO-ESB-18,adopted,
r2/esbuild @ c75e91b945b2,CLM-064,result-field,SC-E-32,adopted,
r2/esbuild @ c75e91b945b2,CLM-065,result-field,SC-E-32,adopted,
r2/esbuild @ c75e91b945b2,CLM-066,result-field,SC-E-33,adopted,
r2/esbuild @ c75e91b945b2,CLM-067,result-field,SC-E-33,adopted,
r2/esbuild @ c75e91b945b2,CLM-068,result-field,SC-E-34,adopted,
r2/esbuild @ c75e91b945b2,CLM-069,result-field,CO-ESB-03,adopted,
